id_question,question_asked,answer_given,pdf_name,article_name
24,What percentage of jobs have at least 50% of their tasks exposed when considering both current model capabilities and anticipated tools built upon them?,The text does not provide a specific percentage for the number of jobs that have at least 50% of their tasks exposed when considering both current model capabilities and anticipated tools built upon them. The analysis indicates that approximately 19% of jobs have at least 50% of their tasks exposed when considering both current model capabilities and anticipated tools built upon them.,https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
25,How do exposure measures vary across different types of work and occupations?,"The exposure measure varies across different types of work and occupations because it reflects the technical capacity to make human labor more efficient in different tasks and roles. The analysis shows that occupations with higher wages generally present with higher exposure, and that roles heavily reliant on science and critical thinking skills show a negative correlation with exposure, while programming and writing skills are positively associated with LLM exposure.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
26,How do the authors define general-purpose technologies (GPTs) and how do LLMs meet the criteria for GPTs?,"The authors define general-purpose technologies (GPTs) as technologies with a broad range of valuable uses across various industries and tasks. They argue that large language models (LLMs) meet the criteria for GPTs, as they have consistently improved, have a growing economic effect, and their potential impact expands with complementary technologies. The authors also show that even subsets of machine learning software, like LLMs, meet the criteria for general-purpose technology status independently.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
27,What are general-purpose technologies and what are their defining characteristics?,"General-purpose technologies are relatively rare and characterized by their pervasiveness, improvement over time, and the development of significant co-invention and spillovers.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
28,How does the authors' assessment of LLMs' potential impact on the labor market limit their evaluation?,The authors' assessment of LLMs' potential impact on the labor market is limited since it does not consider total factor productivity or capital input potential. The authors focus on testing the hypothesis that LLMs have a pervasive influence on the economy.,https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
29,What is the authors' primary focus in evaluating LLMs' impact on the economy?,The authors' primary focus in evaluating LLMs' impact on the economy is to assess whether the impacts are limited to a specific set of similar tasks or occupations or if they will be more widespread.,https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
30,How does the task evaluation approach with human and GPT-4 annotations differ from using job postings to assess LLMs' status as a general-purpose technology?,The task evaluation approach with human and GPT-4 annotations differs from using job postings to assess LLMs' status as a general-purpose technology as it provides a more detailed analysis of tasks within occupations.,https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
31,"What percentage of tasks within an occupation are directly exposed to LLMs, based on human and GPT-4 annotations?","Based on human and GPT-4 annotations, approximately 15% of tasks within an occupation are directly exposed to LLMs.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
32,How does the vertical distance between the 𝛼 and the 𝜁 in Figure 2 represent the exposure potential attributable to tools and applications beyond direct exposure to LLMs?,"The vertical distance between the 𝛼 and the 𝜁 in Figure 2 represents the exposure potential attributable to tools and applications beyond direct exposure to LLMs because as the share of an occupation's tasks exposed to LLMs increases from 𝛼 to 𝜁, the vertical distance between the two curves indicates the additional exposure potential from tools and applications beyond direct exposure to LLMs.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
33,"How do higher wages correlate with increased exposure to LLMs, based on human and GPT-4 assessments?","Higher wages correlate with increased exposure to LLMs, based on human and GPT-4 assessments, as shown in Figure 4. The overall trend in the binscatter plot reveals that higher wage occupations tend to be more exposed to LLMs, while some discrepancies exist, both human and GPT-4 assessments indicate this positive correlation.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
34,How does the potential exposure to LLMs seem to correlate with current employment levels?,The potential exposure to LLMs seems to have little correlation with current employment levels. Both human and GPT-4 ratings of overall exposure are aggregated to the occupation-level and compared with the log of total employment. Neither plot reveals significant differences in LLM exposure across varying employment levels.,https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
35,"What skills are strongly negatively associated with exposure to LLMs, based on regression analysis?","Skills that are strongly negatively associated with exposure to LLMs, based on regression analysis, include science and critical thinking skills. This suggests that occupations requiring these skills are less likely to be impacted by current LLMs.",https://arxiv.org/pdf/2303.10130.pdf,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models
